text,label
"The central bank raised interest rates by a quarter point on Wednesday, citing persistent inflation pressures across the economy.",REAL
"Local officials announced a new public transit line connecting the eastern suburbs to downtown, with construction set to begin next spring.",REAL
Researchers published a peer-reviewed study in a major journal showing a modest decline in regional air pollution over the past decade.,REAL
The city council approved the annual budget after months of public hearings and revisions to the proposed spending plan.,REAL
A new report from the national statistics agency shows unemployment held steady last month across most sectors of the economy.,REAL
"The hospital opened a new wing dedicated to pediatric care, funded partly by a state grant and private donations.",REAL
"Election officials confirmed that ballots will be counted starting Tuesday evening, with results expected within 48 hours.",REAL
The university announced a partnership with a local college to expand access to affordable STEM education programs.,REAL
Weather services issued a routine advisory for heavy rainfall expected across the coastal region this weekend.,REAL
"The company reported quarterly earnings in line with analyst expectations, with revenue growth driven by its cloud division.",REAL
"Secret government memo PROVES they are hiding the truth about the moon landing, insiders reveal shocking details!",FAKE
"Doctors HATE this one weird trick that cures all diseases instantly, Big Pharma doesn't want you to know!",FAKE
"BREAKING: Celebrity secretly replaced by clone, anonymous source says this changes everything you thought you knew!",FAKE
"Scientists confirm the earth will stop spinning next month, government refuses to warn the public about the disaster!",FAKE
"Shocking leaked documents show world leaders secretly control the weather using hidden machines, share before it's deleted!",FAKE
"This miracle fruit melts fat overnight, doctors are furious that this natural cure is being suppressed by corporations!",FAKE
"Anonymous whistleblower claims aliens have been living among us for decades, mainstream media refuses to cover this story!",FAKE
"You won't believe what they found buried under the White House, officials are desperately trying to cover it up!",FAKE
"New study 'proves' vaccines contain microchips that track your every move, share this before it gets banned!",FAKE
"Local man discovers ancient prophecy that predicts the exact date the world will end, experts are in stunned silence!",FAKE
